Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2000-12-27,18.67,,,,,,,,,,,,,,,,,,,,,,
2000-12-28,18.98,,,,,,,,,,,,,,,,,,,,,,
2000-12-29,19.2,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,19.06,,,,,,,,,,,,,,,,,,,,,,
2001-01-02,19.33,,,,,,,,,,,,,,,,,,,,,,
2001-01-03,19.62,,,,,,,,,,,,,,,,,,,,,,
2001-01-04,19.87,,,,,,,,,,,,,,,,,,,,,,
2001-01-05,20.17,,,,,,,,,,,,,,,,,,,,,,
2001-01-08,19.9,,,,,,,,,,,,,,,,,,,,,,
2001-01-09,19.93,,,,,,,,,,,,,,,,,,,,,,
2001-01-10,19.56,,,,,,,,,,,,,,,,,,,,,,
2001-01-11,19.46,,,,,,,,,,,,,,,,,,,,,,
2001-01-12,19.55,,,,,,,,,,,,,,,,,,,,,,
2001-01-15,20.85,,,,,,,,,,,,,,,,,,,,,,
2001-01-16,20.95,,,,,,,,,,,,,,,,,,,,,,
2001-01-17,21.03,,,,,,,,,,,,,,,,,,,,,,
2001-01-18,21.16,,,,,,,,,,,,,,,,,,,,,,
2001-01-19,21.53,,,,,,,,,,,,,,,,,,,,,,
2001-01-22,21.84,,,,,,,,,,,,,,,,,,,,,,
2001-01-23,21.96,,,,,,,,,,,,,,,,,,,,,,
2001-01-24,22.13,,,,,,,,,,,,,,,,,,,,,,
2001-01-25,22.2,,,,,,,,,,,,,,,,,,,,,,
2001-01-29,21.74,,,,,,,,,,,,,,,,,,,,,,
2001-01-30,22.35,,,,,,,,,,,,,,,,,,,,,,
2001-01-31,22.22,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,22.02,,,,,,,,,,,,,,,,,,,,,,
2001-02-02,22.34,,,,,,,,,,,,,,,,,,,,,,
2001-02-05,22.4,,,,,,,,,,,,,,,,,,,,,,
2001-02-06,22.47,,,,,,,,,,,,,,,,,,,,,,
2001-02-07,22.22,,,,,,,,,,,,,,,,,,,,,,
2001-02-08,22.62,,,,,,,,,,,,,,,,,,,,,,
2001-02-09,22.78,,,,,,,,,,,,,,,,,,,,,,
2001-02-12,22.73,,,,,,,,,,,,,,,,,,,,,,
2001-02-13,22.55,,,,,,,,,,,,,,,,,,,,,,
2001-02-14,20.89,,,,,,,,,,,,,,,,,,,,,,
2001-02-15,21.24,,,,,,,,,,,,,,,,,,,,,,
2001-02-16,20.71,,,,,,,,,,,,,,,,,,,,,,
2001-02-19,20.76,,,,,,,,,,,,,,,,,,,,,,
2001-02-20,20.73,,,,,,,,,,,,,,,,,,,,,,
2001-02-21,20.52,,,,,,,,,,,,,,,,,,,,,,
2001-02-22,20.3,,,,,,,,,,,,,,,,,,,,,,
2001-02-23,19.78,,,,,,,,,,,,,,,,,,,,,,
2001-02-26,19.66,,,,,,,,,,,,,,,,,,,,,,
2001-02-27,19.41,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,20.24,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,20.34,,,,,,,,,,,,,,,,,,,,,,
2001-03-02,19.57,,,,,,,,,,,,,,,,,,,,,,
2001-03-05,19.04,,,,,,,,,,,,,,,,,,,,,,
2001-03-07,19.35,,,,,,,,,,,,,,,,,,,,,,
2001-03-08,19.38,,,,,,,,,,,,,,,,,,,,,,
2001-03-09,18.81,,,,,,,,,,,,,,,,,,,,,,
2001-03-12,17.96,,,,,,,,,,,,,,,,,,,,,,
2001-03-13,16.86,,,,,,,,,,,,,,,,,,,,,,
2001-03-14,17.9,,,,,,,,,,,,,,,,,,,,,,
2001-03-15,18.25,,,,,,,,,,,,,,,,,,,,,,
2001-03-16,17.89,,,,,,,,,,,,,,,,,,,,,,
2001-03-19,17.79,,,,,,,,,,,,,,,,,,,,,,
2001-03-20,17.55,,,,,,,,,,,,,,,,,,,,,,
2001-03-21,18.1,,,,,,,,,,,,,,,,,,,,,,
2001-03-22,17.8,,,,,,,,,,,,,,,,,,,,,,
2001-03-23,17.41,,,,,,,,,,,,,,,,,,,,,,
2001-03-26,17.41,,,,,,,,,,,,,,,,,,,,,,
2001-03-27,17.65,,,,,,,,,,,,,,,,,,,,,,
2001-03-28,18.07,,,,,,,,,,,,,,,,,,,,,,
2001-03-29,17.91,,,,,,,,,,,,,,,,,,,,,,
2001-03-30,17.21,,,,,,,,,,,,,,,,,,,,,,
2001-04-02,17.05,,,,,,,,,,,,,,,,,,,,,,
2001-04-03,17.22,,,,,,,,,,,,,,,,,,,,,,
2001-04-04,17.07,,,,,,,,,,,,,,,,,,,,,,
2001-04-06,17.11,,,,,,,,,,,,,,,,,,,,,,
2001-04-09,16.94,,,,,,,,,,,,,,,,,,,,,,
2001-04-10,15.94,,,,,,,,,,,,,,,,,,,,,,
2001-04-11,15.41,,,,,,,,,,,,,,,,,,,,,,
2001-04-12,14.73,,,,,,,,,,,,,,,,,,,,,,
2001-04-16,15.02,,,,,,,,,,,,,,,,,,,,,,
2001-04-17,15.34,,,,,,,,,,,,,,,,,,,,,,
2001-04-18,15.86,,,,,,,,,,,,,,,,,,,,,,
2001-04-19,16.45,,,,,,,,,,,,,,,,,,,,,,
2001-04-20,16.45,,,,,,,,,,,,,,,,,,,,,,
2001-04-23,16.53,,,,,,,,,,,,,,,,,,,,,,
